Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-2129379,"Molecules associated with elastic fibres",22,38,0.002616719460129459,1.1102230246251565E-16,3.774758283725532E-15,9,10,7.448234768359899E-4,9606,Homo sapiens,"FBN2;FBN3;TGFB1;ELN;LTBP4;FN1;FBLN1;LTBP2;LTBP3;LTBP1;FBLN2;FBLN5;MFAP5;VTN;EFEMP2;BMP2;EFEMP1;MFAP1;MFAP2;EMILIN2;EMILIN1;FBN1","","R-HSA-2395364;R-HSA-2161282;R-HSA-2328033;R-HSA-2328048;R-HSA-2395328;R-HSA-2537665;R-HSA-2396399;R-HSA-1592387;R-HSA-2395320"
R-HSA-1474228,"Degradation of the extracellular matrix",63,148,0.010191433686819996,1.1102230246251565E-16,3.774758283725532E-15,93,105,0.007820646506777894,9606,Homo sapiens,"COL18A1;PRSS1;COL16A1;COL14A1;ELN;COL12A1;LAMC2;LAMC1;ADAMTS4;CTSL;ADAMTS1;CTSK;TIMP2;COL10A1;TIMP1;CTSD;CTSB;MMP1;MMP2;ADAM10;HSPG2;DCN;CTSL1;ADAM17;COL2A1;COL4A2;ADAM15;COL4A1;COL6A2;COL6A1;COL4A3;COL4A6;COL8A1;COL6A3;COL4A5;ADAM9;FBN2;FBN3;LAMA5;COL15A1;COL11A1;LAMA3;HTRA1;NID1;COL19A1;ACAN;A2M;LAMB3;LAMB2;FN1;LAMB1;COL1A1;COL3A1;BMP1;COL1A2;COL5A1;COL7A1;COL5A3;COL5A2;FBN1","","R-HSA-1474196;R-HSA-8940554;R-HSA-1602458;R-HSA-1474197;R-HSA-3828025;R-HSA-4086205;R-HSA-1564179;R-HSA-1592349;R-HSA-3791295;R-HSA-1604752;R-HSA-1604368;R-HSA-3791155;R-HSA-1602454;R-HSA-1564184;R-HSA-1604360;R-HSA-3788075;R-HSA-1566981;R-HSA-1564164;R-HSA-1566979;R-HSA-3791149;R-HSA-8855825;R-HSA-1458433;R-HSA-2533950;R-HSA-3814820;R-HSA-1564169;R-HSA-2533944;R-HSA-1604359;R-HSA-1602488;R-HSA-2168960;R-HSA-2482180;R-HSA-2514823;R-HSA-3788061;R-HSA-2167942;R-HSA-2514831;R-HSA-1454781;R-HSA-1592371;R-HSA-2172433;R-HSA-1602473;R-HSA-1592362;R-HSA-1454757;R-HSA-1474213;R-HSA-1474210;R-HSA-2534160;R-HSA-2484882;R-HSA-2168982;R-HSA-2485148;R-HSA-1602466;R-HSA-2537499;R-HSA-2514790;R-HSA-1564117;R-HSA-2534240;R-HSA-2168038;R-HSA-1564112;R-HSA-1604690;R-HSA-4224014;R-HSA-1592278;R-HSA-2534248;R-HSA-2168046;R-HSA-1564120;R-HSA-1454791;R-HSA-2485111;R-HSA-2172405;R-HSA-2533874;R-HSA-2473584;R-HSA-1592270;R-HSA-1592398;R-HSA-2473596;R-HSA-1605825;R-HSA-375135;R-HSA-2473594;R-HSA-8943959;R-HSA-2471621;R-HSA-1592314;R-HSA-1604731;R-HSA-1604732;R-HSA-1592316;R-HSA-1566962;R-HSA-1604350;R-HSA-1604722;R-HSA-2533965;R-HSA-1592436;R-HSA-3785684;R-HSA-1454843;R-HSA-1592310;R-HSA-3791319;R-HSA-1454822;R-HSA-1604712;R-HSA-1592297;R-HSA-2514772;R-HSA-2533970;R-HSA-1564143;R-HSA-1564142;R-HSA-2168923"
R-HSA-1650814,"Collagen biosynthesis and modifying enzymes",42,76,0.005233438920258918,1.1102230246251565E-16,3.774758283725532E-15,44,51,0.0037985997318635482,9606,Homo sapiens,"COL18A1;COL15A1;COLGALT2;COL16A1;COL14A1;COL11A1;COL12A1;PLOD3;PLOD2;PLOD1;COL19A1;SERPINH1;COL10A1;COLGALT1;CRTAP;COL22A1;PCOLCE;COL1A1;COL3A1;COL2A1;COL1A2;BMP1;COL5A1;COL4A2;P4HA1;COL4A1;P4HA2;COL7A1;COL6A2;COL5A3;P4HA3;COL6A1;COL5A2;COL4A3;COL4A6;COL21A1;COL8A1;COL6A3;COL4A5","","R-HSA-8948232;R-HSA-8944265;R-HSA-2002460;R-HSA-8948234;R-HSA-8944266;R-HSA-8948224;R-HSA-8948226;R-HSA-8948228;R-HSA-8944261;R-HSA-8944262;R-HSA-8948230;R-HSA-8948231;R-HSA-8944263;R-HSA-8944216;R-HSA-8944218;R-HSA-8944219;R-HSA-8944220;R-HSA-2002440;R-HSA-1981128;R-HSA-1980233;R-HSA-8944223;R-HSA-1981120;R-HSA-8944214;R-HSA-8944232;R-HSA-1650808;R-HSA-8944233;R-HSA-2002428;R-HSA-8944236;R-HSA-1614460;R-HSA-1614461;R-HSA-2022073;R-HSA-8944227;R-HSA-2089971;R-HSA-1981104;R-HSA-8944230;R-HSA-8948219;R-HSA-2152276;R-HSA-8948222;R-HSA-8944255;R-HSA-8944240;R-HSA-1981157;R-HSA-8944246;R-HSA-8944247;R-HSA-2002401"
R-HSA-381426,"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",31,127,0.00874535187990635,1.1102230246251565E-16,3.774758283725532E-15,12,14,0.0010427528675703858,9606,Homo sapiens,"SPARC;ITIH2;SERPINC1;TNC;LAMC1;LTBP1;PRSS23;LGALS1;IGFBP7;TIMP1;APOE;IGFBP6;APOB;IGFBP5;AHSG;MMP1;LAMB2;IGFBP4;MMP2;IGFBP3;FGG;FN1;APOA1;ADAM10;LAMB1;F2;F5;VCAN;VWA1;CSPG2;MFGE8;FBN1","","R-HSA-381461;R-HSA-381543;R-HSA-381446;R-HSA-381537;R-HSA-8952289;R-HSA-381500;R-HSA-381503;R-HSA-381518;R-HSA-381545;R-HSA-381496;R-HSA-381435;R-HSA-381466"
R-HSA-1474244,"Extracellular matrix organization",122,329,0.022655281641647155,1.1102230246251565E-16,3.774758283725532E-15,267,319,0.02375986891106808,9606,Homo sapiens,"PRSS1;SPARC;COL16A1;SERPINE1;COL12A1;TNC;PLOD3;PLOD2;PLOD1;FGF2;LOXL1;LOXL2;COMP;EFEMP2;EFEMP1;ADAM10;PCOLCE;HSPG2;CTSL1;ADAM17;LOX;COL4A2;ADAM15;COL4A1;COL4A3;COL4A6;ADAM9;COL8A1;COL4A5;FBN2;FBN3;LTBP4;HTRA1;FBLN1;LTBP2;LTBP3;NID1;LTBP1;NID2;FBLN2;FBLN5;VTN;SERPINH1;A2M;CRTAP;TGFB1;FN1;COL1A1;BMP2;COL1A2;BMP1;P4HA1;COL5A1;P4HA2;P4HA3;COL5A3;COL5A2;CSPG2;FBN1;COL18A1;COLGALT2;COL14A1;ELN;LAMC2;LAMC1;HAPLN1;ADAMTS4;CTSL;ADAMTS1;CTSK;TIMP2;COL10A1;EMILIN2;EMILIN1;TIMP1;CTSD;COLGALT1;CTSB;FGB;MMP1;MMP2;FGG;BGN;DCN;VCAN;COL2A1;COL6A2;COL6A1;PXDN;COL21A1;COL6A3;ITGA5;MATN4;PLEC;LAMA5;COL15A1;TNXB;LAMA2;LAMA1;LAMA4;COL11A1;LAMA3;THBS1;COL19A1;ACAN;LAMB3;LAMB2;LUM;COL22A1;LAMB1;MFAP5;COL3A1;MFAP1;COL7A1;MFAP2;AGRN","","R-HSA-8944265;R-HSA-2002460;R-HSA-8944266;R-HSA-2473511;R-HSA-216064;R-HSA-1564179;R-HSA-1592349;R-HSA-216069;R-HSA-216068;R-HSA-2545196;R-HSA-8944261;R-HSA-8944262;R-HSA-8944263;R-HSA-1564184;R-HSA-216076;R-HSA-216082;R-HSA-1564164;R-HSA-2002440;R-HSA-2533950;R-HSA-1564169;R-HSA-2533944;R-HSA-2250301;R-HSA-2482180;R-HSA-1592371;R-HSA-2172433;R-HSA-1592362;R-HSA-8941234;R-HSA-2002466;R-HSA-2537499;R-HSA-2426471;R-HSA-2465890;R-HSA-2467436;R-HSA-1604690;R-HSA-4224014;R-HSA-2473584;R-HSA-1592398;R-HSA-2473596;R-HSA-1592387;R-HSA-2731122;R-HSA-2395257;R-HSA-2473594;R-HSA-1650808;R-HSA-2328129;R-HSA-1604731;R-HSA-1604732;R-HSA-1614460;R-HSA-1614461;R-HSA-1604722;R-HSA-2731075;R-HSA-2533965;R-HSA-1592436;R-HSA-2396234;R-HSA-2731078;R-HSA-1604712;R-HSA-2328145;R-HSA-2395223;R-HSA-2684507;R-HSA-2533970;R-HSA-2426450;R-HSA-2168923;R-HSA-2465883;R-HSA-8948232;R-HSA-8948234;R-HSA-2395302;R-HSA-1474196;R-HSA-8940554;R-HSA-1474197;R-HSA-2426530;R-HSA-8948224;R-HSA-1604752;R-HSA-8948226;R-HSA-8948228;R-HSA-8948230;R-HSA-4084912;R-HSA-8948231;R-HSA-4084910;R-HSA-2396337;R-HSA-2327733;R-HSA-2395314;R-HSA-2395324;R-HSA-2327738;R-HSA-4084903;R-HSA-2395320;R-HSA-2395322;R-HSA-2168960;R-HSA-2161282;R-HSA-2022073;R-HSA-2167942;R-HSA-1454781;R-HSA-2327695;R-HSA-2731141;R-HSA-2161293;R-HSA-1981104;R-HSA-2559639;R-HSA-1454757;R-HSA-1474213;R-HSA-1474210;R-HSA-2484882;R-HSA-2168982;R-HSA-2470555;R-HSA-2484965;R-HSA-2395364;R-HSA-2299620;R-HSA-2168038;R-HSA-2396399;R-HSA-265423;R-HSA-1474266;R-HSA-2168046;R-HSA-2396395;R-HSA-8944216;R-HSA-1454791;R-HSA-265429;R-HSA-8944218;R-HSA-8944219;R-HSA-8944220;R-HSA-265424;R-HSA-1981128;R-HSA-265426;R-HSA-8944223;R-HSA-2327803;R-HSA-1605825;R-HSA-1981120;R-HSA-8944214;R-HSA-8944232;R-HSA-2471621;R-HSA-8944233;R-HSA-2327746;R-HSA-2022141;R-HSA-8944236;R-HSA-3787997;R-HSA-2395328;R-HSA-1566962;R-HSA-1604350;R-HSA-2537665;R-HSA-3907292;R-HSA-2395340;R-HSA-8944227;R-HSA-1454843;R-HSA-8944230;R-HSA-1454822;R-HSA-2396370;R-HSA-8944255;R-HSA-8944240;R-HSA-1981157;R-HSA-8944246;R-HSA-8944247;R-HSA-3828025;R-HSA-1604368;R-HSA-3791155;R-HSA-1604360;R-HSA-2426676;R-HSA-3788075;R-HSA-1566981;R-HSA-2467633;R-HSA-1566979;R-HSA-3791149;R-HSA-1458433;R-HSA-2466106;R-HSA-1604359;R-HSA-3788061;R-HSA-4084507;R-HSA-4084505;R-HSA-4084501;R-HSA-2534160;R-HSA-2318623;R-HSA-2514790;R-HSA-2327909;R-HSA-2534240;R-HSA-2534248;R-HSA-2485111;R-HSA-1980233;R-HSA-375135;R-HSA-4085087;R-HSA-2681675;R-HSA-4085083;R-HSA-2213192;R-HSA-2213195;R-HSA-2681667;R-HSA-2327886;R-HSA-2467659;R-HSA-2213201;R-HSA-2213200;R-HSA-2514772;R-HSA-8948219;R-HSA-2467665;R-HSA-2213205;R-HSA-2152276;R-HSA-2243926;R-HSA-2213207;R-HSA-8948222;R-HSA-2681694;R-HSA-2213208;R-HSA-2243931;R-HSA-2681681;R-HSA-2213210;R-HSA-114560;R-HSA-114563;R-HSA-4086204;R-HSA-1602458;R-HSA-4086205;R-HSA-3791295;R-HSA-2396079;R-HSA-1602454;R-HSA-2424246;R-HSA-2214324;R-HSA-8855825;R-HSA-2424243;R-HSA-2396083;R-HSA-2424252;R-HSA-2466238;R-HSA-2214330;R-HSA-349593;R-HSA-3814820;R-HSA-1602488;R-HSA-2467716;R-HSA-2514823;R-HSA-4088220;R-HSA-349603;R-HSA-2514831;R-HSA-1602473;R-HSA-4085133;R-HSA-2426259;R-HSA-2485148;R-HSA-1602466;R-HSA-349626;R-HSA-1564117;R-HSA-2328033;R-HSA-4539779;R-HSA-2328037;R-HSA-1564112;R-HSA-2129385;R-HSA-1592278;R-HSA-1564120;R-HSA-2328048;R-HSA-2172405;R-HSA-2533874;R-HSA-2426355;R-HSA-1592270;R-HSA-8943959;R-HSA-202723;R-HSA-2002428;R-HSA-1592314;R-HSA-1592316;R-HSA-4088281;R-HSA-216043;R-HSA-2129353;R-HSA-216040;R-HSA-2089971;R-HSA-2129357;R-HSA-3785684;R-HSA-1592310;R-HSA-216045;R-HSA-3791319;R-HSA-216051;R-HSA-216050;R-HSA-1592297;R-HSA-2129362;R-HSA-216048;R-HSA-2396113;R-HSA-4088264;R-HSA-4086216;R-HSA-2396124;R-HSA-1564143;R-HSA-1564142;R-HSA-216058;R-HSA-2002401;R-HSA-2129375"
R-HSA-8948216,"Collagen chain trimerization",30,44,0.0030298856906762154,1.1102230246251565E-16,3.774758283725532E-15,21,28,0.0020855057351407717,9606,Homo sapiens,"COL18A1;COL15A1;COL16A1;COL14A1;COL11A1;COL12A1;COL19A1;COL10A1;COL22A1;COL1A1;COL3A1;COL2A1;COL1A2;COL5A1;COL4A2;COL4A1;COL7A1;COL6A2;COL5A3;COL6A1;COL5A2;COL4A3;COL4A6;COL21A1;COL8A1;COL6A3;COL4A5","","R-HSA-8944232;R-HSA-8944265;R-HSA-8944233;R-HSA-8944266;R-HSA-8944236;R-HSA-8944227;R-HSA-8944261;R-HSA-8944262;R-HSA-8944230;R-HSA-8944263;R-HSA-8944216;R-HSA-8944218;R-HSA-8944219;R-HSA-8944220;R-HSA-8944223;R-HSA-8944255;R-HSA-8944240;R-HSA-8944214;R-HSA-8944246;R-HSA-8944247;R-HSA-2002401"
R-HSA-216083,"Integrin cell surface interactions",34,86,0.005922049304503512,1.1102230246251565E-16,3.774758283725532E-15,34,55,0.004096529122597945,9606,Homo sapiens,"COL18A1;COL16A1;TNC;THBS1;COL19A1;COMP;VTN;COL10A1;FGB;LUM;FGG;FN1;HSPG2;COL1A1;COL3A1;COL2A1;COL1A2;COL5A1;COL4A2;COL4A1;COL7A1;COL6A2;COL5A3;COL6A1;COL5A2;COL4A3;COL4A6;COL8A1;COL6A3;COL4A5;ITGA5;AGRN;FBN1","","R-HSA-2484965;R-HSA-114560;R-HSA-114563;R-HSA-2473511;R-HSA-216064;R-HSA-4539779;R-HSA-216069;R-HSA-216068;R-HSA-2467436;R-HSA-265423;R-HSA-4084912;R-HSA-216076;R-HSA-4084910;R-HSA-216082;R-HSA-265429;R-HSA-265424;R-HSA-265426;R-HSA-4084903;R-HSA-349593;R-HSA-4085087;R-HSA-4088220;R-HSA-4085083;R-HSA-349603;R-HSA-4088281;R-HSA-216043;R-HSA-216040;R-HSA-2327695;R-HSA-216045;R-HSA-216050;R-HSA-4085133;R-HSA-4088264;R-HSA-4086216;R-HSA-2426259;R-HSA-2470555"
R-HSA-3000171,"Non-integrin membrane-ECM interactions",32,61,0.004200523343892026,1.1102230246251565E-16,3.774758283725532E-15,13,22,0.0016386116490391778,9606,Homo sapiens,"LAMA5;COL16A1;LAMA2;LAMA1;LAMA4;COL11A1;LAMA3;TNC;LAMC2;LAMC1;FGF2;THBS1;VTN;COL10A1;TGFB1;LAMB3;LAMB2;FN1;LAMB1;HSPG2;COL1A1;COL3A1;COL2A1;COL1A2;COL5A1;COL4A2;COL4A1;COL5A3;COL5A2;COL4A3;COL4A6;COL4A5;AGRN","","R-HSA-2328129;R-HSA-2681675;R-HSA-2465890;R-HSA-2731075;R-HSA-2731141;R-HSA-2731078;R-HSA-2684507;R-HSA-2396113;R-HSA-2396337;R-HSA-2426355;R-HSA-2681694;R-HSA-2327738;R-HSA-2731122"
R-HSA-114608,"Platelet degranulation ",25,137,0.009433962264150943,1.4432899320127035E-15,4.618527782440651E-14,6,11,8.193058245195889E-4,9606,Homo sapiens,"LGALS3BP;ITIH3;ECM1;SPARC;SERPINC1;SERPINE1;F13A1;CLU;THBS1;APOM;TIMP3;TIMP1;CTSF;A2M;FGB;CHID1;TGFB1;HSPA5;AHSG;HGF;SERPINF2;FGG;ANXA5;FN1;APOA1;F5","","R-HSA-482772;R-HSA-482770;R-HSA-481009;R-HSA-481007;R-HSA-351341;R-HSA-351323"
R-HSA-2214320,"Anchoring fibril formation",12,15,0.0010329155763668916,1.9984014443252818E-15,5.995204332975845E-14,4,4,2.9792939073439596E-4,9606,Homo sapiens,"COL16A1;LAMB3;LAMA3;LAMC2;COL1A1;COL1A2;BMP1;COL4A2;COL4A1;COL7A1;COL4A3;COL4A6;COL4A5","","R-HSA-2214324;R-HSA-2213195;R-HSA-2214330;R-HSA-2396234"
R-HSA-76005,"Response to elevated platelet cytosolic Ca2+",25,144,0.00991598953312216,4.3298697960381105E-15,1.255662240851052E-13,6,14,0.0010427528675703858,9606,Homo sapiens,"LGALS3BP;ITIH3;ECM1;SPARC;SERPINC1;SERPINE1;F13A1;CLU;THBS1;APOM;TIMP3;TIMP1;CTSF;A2M;FGB;CHID1;TGFB1;HSPA5;AHSG;HGF;SERPINF2;FGG;ANXA5;FN1;APOA1;F5","","R-HSA-482772;R-HSA-482770;R-HSA-481009;R-HSA-481007;R-HSA-351341;R-HSA-351323"
R-HSA-6806834,"Signaling by MET",20,88,0.006059771381352431,1.9872992140790302E-14,5.564437799421285E-13,44,49,0.0036496350364963502,9606,Homo sapiens,"LAMA5;LAMB3;LAMA2;LAMB2;LAMA1;LAMA4;COL11A1;HGF;LAMA3;FN1;LAMC2;LAMB1;LAMC1;COL1A1;COL3A1;COL2A1;COL1A2;COL5A1;COL5A3;COL5A2","","R-HSA-8875591;R-HSA-8851908;R-HSA-8875523;R-HSA-8851842;R-HSA-6807008;R-HSA-8851919;R-HSA-8875661;R-HSA-6806957;R-HSA-8875659;R-HSA-6800299;R-HSA-8875531;R-HSA-8865994;R-HSA-6800298;R-HSA-8875540;R-HSA-8851859;R-HSA-6807027;R-HSA-8874079;R-HSA-8874078;R-HSA-6806974;R-HSA-8851933;R-HSA-8851804;R-HSA-8851866;R-HSA-8875482;R-HSA-8875558;R-HSA-8851877;R-HSA-8874083;R-HSA-8874082;R-HSA-8875490;R-HSA-8874080;R-HSA-8875183;R-HSA-8875817;R-HSA-8875816;R-HSA-6800200;R-HSA-8852019;R-HSA-8851827;R-HSA-8851954;R-HSA-8851890;R-HSA-8875568;R-HSA-8851888;R-HSA-8874685;R-HSA-8851900;R-HSA-8851899;R-HSA-8875451;R-HSA-8875576"
